卖家Id,卖家入驻闲鱼时长,卖家卖出商品数量,卖家职业,卖家访问闲鱼频率,卖家芝麻评级,卖家芝麻信用,卖家发货地址,商品标题,商品状态,商品划线价格,商品售价,商品数量,商品邮费,商品浏览数,商品想要人数,商品点赞数,商品同款信息,商品描述
1718520037,来闲鱼1657天了,卖出过145件宝贝,买前考虑清楚，你爽快我更爽快,6小时前来过,A,信用极好,绍兴,淡黄的长裙 黄格子一字肩长款连衣裙,在售,0,50,1,7,58,0,0,无同款商品信息,"淡黄的长裙 黄格子一字肩长款连衣裙
我身高165，穿上到脚踝的位置。店里300买的，旅游穿为了拍照穿过两回。50不包邮不议价，售出不退，理智下单～"
3130714512,来闲鱼623天了,卖出过11件宝贝,二手不退不换 撑死小刀 已读不回勿扰,17小时前来过,B,信用优秀,岳阳,朵以夏装新款圆领松紧腰泡泡连衣裙A字裙,在售,0,50,1,0,91,1,0,无同款商品信息,"朵以夏装新款圆领松紧腰泡泡连衣裙A字裙
适合微胖  65kg左右都可以
穿过三四次 无瑕疵 要细节图可以拍
已读不回勿扰 包非偏远"
796306124,来闲鱼1813天了,卖出过75件宝贝,收拾衣柜！成为收纳小能手！,5天前来过,A,信用极好,金华,gucci- 蜜蜂polo衫- 穿过去年一夏，买的时候就买小,未知,0,900,1,0,1322,27,0,无同款商品信息,"gucci- 蜜蜂polo衫- 穿过去年一夏，买的时候就买小了，洗过后又缩水。自己认识的代购买回，忘记买的是什么码。料子已经洗的感觉有点薄。换季拿出来压在衣柜里有点皱。肩宽44cm/ 衣长约67cm/ 胸围约102这样
（正品）"
383593179,来闲鱼1007天了,卖出过139件宝贝,房地产/建筑行业创始人,连续4天来过,C,信用良好,哈尔滨,美国正品champion情侣卫衣，国外旅游购回，国内没有版，,在售,1999,199,1,0,129,2,0,无同款商品信息,美国正品champion情侣卫衣，国外旅游购回，国内没有版，颜色超正面料吸汗舒适不同国内棉质版，不出褶子，凉快轻便，男款XL 女款S，国外版男士170-183都能穿，女款155-170都可以，看图说话穿过一次，闲置一件199，女款已卖！史上最低价，识货来想买仿品假货瞎讲价者勿扰，两件一起同城自提优惠
2679897198,来闲鱼736天了,卖出过995件宝贝,金融行业财务,连续5天来过,A,信用极好,徐州,女童90码全棉露肩好看T付邮费送～,已售出,0,1,0,7,75,1,0,无同款商品信息,"女童90码全棉露肩好看T付邮费送～
这件洗过一次，就穿过一两回，至少95新！
1块钱加邮费送啦～
福利款不还价概不退换想好再拍！"
687449372,来闲鱼1886天了,卖出过224件宝贝,出个闲置心好累,2小时前来过,A,信用极好,玉林,费依夏季女装 时尚甜美 可爱宽松短袖无袖飞飞袖上衣 L码,在售,0,55,1,0,82,1,0,无同款商品信息,"费依夏季女装 时尚甜美 可爱宽松短袖无袖飞飞袖上衣 L码
163.115穿这个码合适，就是手臂太粗不想穿无袖的了，晚上出门吃宵夜穿过两回，面料很柔软
我是搭配最后那条裤子穿的，张大奕家的灯笼裤，腰部松紧，什么身材都好穿
单件55一套就90吧"
3250607532,来闲鱼616天了,卖出过70件宝贝,零售行业销售,2小时前来过,C,信用良好,沈阳,没穿过2回上衣均码。短裤是L码的，一套都挺新的，实体店购入！,在售,0,50,1,0,25,0,0,无同款商品信息,没穿过2回上衣均码。短裤是L码的，一套都挺新的，实体店购入！不喜欢这个上衣可以去我主页挑！
32519042,来闲鱼1608天了,卖出过70件宝贝,,3小时前来过,A,信用极好,北京,3件包邮男童男大童半袖150码纯棉3件T恤圆领翻领,在售,0,45,1,0,67,1,0,无同款商品信息,"3件包邮男童男大童半袖150码纯棉3件T恤圆领翻领

清衣柜，3件一起出，包邮～
红色就穿过一两回，很新
条纹带领的棉质好 
迪士尼的图案是自然做旧，不是磨的"
3395433925,来闲鱼459天了,卖出过30件宝贝,"来闲鱼459天了,卖出过30件宝贝",21小时前来过,B,信用优秀,襄阳,Seven4lee拯救炎热の苏打气泡水 牛油果绿…,在售,74.74,40,1,10,125,3,0,无同款商品信息,"Seven4lee拯救炎热の苏打气泡水 牛油果绿…
主要颜色:牛油果绿预售,尺码:S
牛油果绿和橙色都有
都是s码，宽松 质感超舒服
均是去年夏天买的，穿过一两次
闲置了，先挂咸鱼，衣服在学校
不急的姐妹可以拍，回学校第一时间发货"
648280081,来闲鱼1813天了,卖出过19件宝贝,,连续3天来过,A,信用极好,杭州,娃娃领短袖衬衫，似乎是均码的，白色的，照片看着偏黄，领子一圈,在售,0,20,1,7,10,0,0,无同款商品信息,娃娃领短袖衬衫，似乎是均码的，白色的，照片看着偏黄，领子一圈里面都有图三那种线头，穿过两回
