卖家Id,卖家入驻闲鱼时长,卖家卖出商品数量,卖家职业,卖家访问闲鱼频率,卖家芝麻评级,卖家芝麻信用,卖家发货地址,商品标题,商品状态,商品划线价格,商品售价,商品数量,商品邮费,商品浏览数,商品想要人数,商品点赞数,商品同款信息,商品描述
2149985665,来闲鱼1575天了,卖出过603件宝贝,自由职业行业拖拉机手,连续3天来过,B,信用优秀,杭州,二手正品S码迪卡侬连帽户外运动装,在售,0,62,1,0,18,2,0,无同款商品信息,"二手正品S码迪卡侬连帽户外运动装

9成新，无破损，原装扣链，单层薄款，可当防晒服穿，防雨，170/88A 衣长73，肩宽45，胸围108，䄂长67，不正包退。

二手闲置衣鞋售出（除真假问题）不退不换、任何问题拍前请咨询清楚，拍下即默认。
  吹毛求疵者请绕道，二手物品没有绝对完美，具体成色如图，都是实拍。
偏远地区需补部分运费，具体私聊。"
3578532632,来闲鱼24天了,卖出过20件宝贝,"来闲鱼24天了,卖出过20件宝贝",刚刚来过,C,信用良好,阜新,阿迪达斯女款拉链连帽卫衣  衣长63cm  尺寸M 九成新无,在售,0,60,1,0,31,2,0,无同款商品信息,阿迪达斯女款拉链连帽卫衣  衣长63cm  尺寸M 九成新无瑕疵  拍前请看好图片尺寸  售出不退不换  不议价  所有衣物都是二手品牌回收店的正品衣物   内标齐全   价格很低只求喜欢的朋友能多多关注我  多多光临与支持#二手旧衣物
664745611,来闲鱼671天了,卖出过12件宝贝,工业/制造业行业总经理,连续5天来过,A,信用极好,青岛,低价出售正品斐乐男士运动连帽外套卫衣，裤子3件套装XL180,在售,1500,588,1,0,13,1,0,无同款商品信息,低价出售正品斐乐男士运动连帽外套卫衣，裤子3件套装XL180尺码，新旧看图片，二手衣物售出后，概不退换，请慎重下单！
4024130194,来闲鱼322天了,卖出过71件宝贝,"来闲鱼322天了,卖出过71件宝贝",连续2天来过,C,信用良好,南充,全新非二手Pa家休闲夹克 男士休闲夹克外套重磅原重工全压胶打,在售,0,189,1,0,13,0,0,无同款商品信息,"全新非二手Pa家休闲夹克 男士休闲夹克外套重磅原重工全压胶打造！男士顶级短款夹克 客供五金 所有都是压胶  防水黄金剪裁分割 外加撞色logo 只有藏青s码  懂货的来 
特价清仓不退不换
男女冲锋衣连帽运动服 功能：反光夜视 领型：连帽 功能：防风 功能：抗紫外线"
1081723195,来闲鱼933天了,卖出过17件宝贝,,2小时前来过,A,信用极好,大连,品牌型号：冬季厚棉运动裤 尺码：2.6尺-2.8尺左右均可穿,在售,0,25,1,0,35,0,0,无同款商品信息,品牌型号：冬季厚棉运动裤 尺码：2.6尺-2.8尺左右均可穿着 基础风格：运动 八成新 偏远地区邮费另计 二手衣物售后不退不换
409259004,来闲鱼403天了,卖出过149件宝贝,贸易行业行政,连续3天来过,A,信用极好,北京,阿迪达斯瑜伽服，速干衣，女款170/72A，腰围45*2，腰,在售,0,99,1,0,7,0,0,无同款商品信息,阿迪达斯瑜伽服，速干衣，女款170/72A，腰围45*2，腰围45*2，衣长56，无瑕疵，9成新，处理价格99，北京可送地铁口外地包邮二手物品不退换
2548681406,来闲鱼1301天了,卖出过27件宝贝,,连续4天来过,A,信用极好,揭阳,Nike运动休闲透气短袖T恤 运动户外项目：运动休闲 功能：,在售,0,49.9,1,0,10,0,0,无同款商品信息,"Nike运动休闲透气短袖T恤 运动户外项目：运动休闲 功能：吸湿排汗 品牌：Nike/耐克 服装款式细节：品牌LOGO 功能：透气 服装版型：常规 m码
二手物品一旦售出不退不换"
1053639104,来闲鱼1366天了,卖出过70件宝贝,喜欢宠物、时尚,连续2天来过,A,信用极好,楚雄,正品阿迪  9.5新  不喜欢了穿过2次下水一次,在售,0,100,1,0,11,0,0,无同款商品信息,"正品阿迪  9.5新  不喜欢了穿过2次下水一次
低价转
二手物品看好再拍，不退不换！"
748660183,来闲鱼1971天了,卖出过37件宝贝,体育/健身行业教练,2小时前来过,A,信用极好,武汉,Nike黑色女士运动短裤S码,在售,0,70,1,0,125,6,0,无同款商品信息,"Nike黑色女士运动短裤S码
带内衬，穿着次数很少
专卖店购入
9成新，二手商品售出不退不换。"
2470680252,来闲鱼316天了,卖出过10件宝贝,,连续2天来过,C,信用良好,赤峰,361° 儿童夏季薄款防晒衣 儿童薄外套,在售,0,50,1,0,7,0,0,无同款商品信息,"361° 儿童夏季薄款防晒衣 儿童薄外套
以前没卖过二手衣服，都比较脏了也拿不出手，小孩子懂的，这两件是外套比较新，也就穿过两三次吧，转给有需要的朋友。
孩儿衣服比较多，穿的次数都不太多。
9新！
儿童361°品牌，专卖店购买！"
