卖家Id,卖家入驻闲鱼时长,卖家卖出商品数量,卖家职业,卖家访问闲鱼频率,卖家芝麻评级,卖家芝麻信用,卖家发货地址,商品标题,商品状态,商品划线价格,商品售价,商品数量,商品邮费,商品浏览数,商品想要人数,商品点赞数,商品同款信息,商品描述
136095211,来闲鱼1365天了,卖出过29件宝贝,,9小时前来过,A,信用极好,宿迁,巴拉巴拉粉色迷彩棉衣9层新，孩子上初一不愿意穿童装了！35不,在售,0,35,1,0,37,1,0,无同款商品信息,巴拉巴拉粉色迷彩棉衣9层新，孩子上初一不愿意穿童装了！35不包邮，160码，！谢绝还价！没完没了的还价，一概拉黑！二手商品，不退不换！
4059432169,来闲鱼680天了,卖出过41件宝贝,自由职业行业客服,连续2天来过,A,信用极好,合肥,西班牙宫廷风童装公主裙女童宝宝花朵蕾丝宫廷生日周岁连衣裙套装,在售,0,100,1,0,6,0,0,无同款商品信息,"西班牙宫廷风童装公主裙女童宝宝花朵蕾丝宫廷生日周岁连衣裙套装 裙子+裤子 100码 穿二洗二

二手物品不退不换，考虑清楚再买

偏远不包邮"
3855378913,来闲鱼92天了,卖出过24件宝贝,浙江农业商贸职业学院毕业,连续2天来过,C,信用良好,徐州,全新巴拉巴拉童装男童短裤宝宝休闲运动裤,在售,59,19,1,0,119,6,0,无同款商品信息,"全新巴拉巴拉童装男童短裤宝宝休闲运动裤 
三标齐全 质量保证
特价19元包邮 都是清仓处理 最低价 不议价 不退换
适用性别：男 面料：棉 适用季节：夏季 裤长：五分裤
颜色 黄色 波点 灰色
尺码90-130黄色 90-100波点 110-130灰色"
1630827561,来闲鱼868天了,卖出过45件宝贝,90后麻麻，从事教育行业，所转物品全是自己专柜或者海淘而来，所有物品售出前可拍图片视频，一旦售出不退不换，谢谢,1小时前来过,A,信用极好,鹤壁,next  34码，基本全新，无污渍，身高105以内没问题，,在售,0,70,1,0,4,0,0,无同款商品信息,next  34码，基本全新，无污渍，身高105以内没问题，70出，二手物品售出不退不换
612627234,来闲鱼1195天了,卖出过14件宝贝,自由职业行业客服,1小时前来过,A,信用极好,唐山,全新带吊牌男女童莫代尔纯棉短裤,在售,59,25,1,0,40,1,0,无同款商品信息,"全新带吊牌男女童莫代尔纯棉短裤
二宝出生，童装店不开了，余部分货品低价转给有需要的宝宝，码不全了，带图询码，二手商品一经售出，不退不换，看好再咨询。"
883570530,来闲鱼1562天了,卖出过87件宝贝,贸易行业创始人,2小时前来过,A,信用极好,烟台,mikihouse 女童小熊衬衣 80码 领子上俩熊洗掉了,在售,0,80,1,0,189,6,0,无同款商品信息,mikihouse 女童小熊衬衣 80码 领子上俩熊洗掉了 备用扣还在。日本带回。二手衣服不退换。正品正品正品 议价不回
49608185,来闲鱼2010天了,卖出过684件宝贝,本人狮子座，对东西本来就很挑剔，买的东西没有假货，所有照片没有p过也没有任何滤镜！所有商品售出不退不换！江浙沪包邮！,连续2天来过,A,信用极好,上海,日本儿童软牛仔裤,在售,199,70,1,0,10,0,0,无同款商品信息,"日本儿童软牛仔裤
几乎全新
120cm 偏小，适合110cm-115cm 
这条弹性很足！灰蓝色也很百搭
二手商品售出不退不换！"
1978860265,来闲鱼493天了,卖出过47件宝贝,自由职业行业人力资源,连续4天来过,A,信用极好,石家庄,abc品牌女童打底裤110码两个颜色，超级秒杀19.9元，纯,在售,0,19.9,1,0,101,3,0,无同款商品信息,abc品牌女童打底裤110码两个颜色，超级秒杀19.9元，纯棉，超级好看，七分裤，满58元包邮，不满补三元邮费，售出后非质量问题不退不换
2.20671E+12,来闲鱼232天了,卖出过77件宝贝,上海财经大学浙江学院毕业,连续2天来过,C,信用良好,杭州,儿童阔腿裤防蚊裤全新带吊牌低价出9分裤棉,在售,0,15,1,0,26,0,0,无同款商品信息,"儿童阔腿裤防蚊裤全新带吊牌低价出9分裤棉
110码2条，腰围40-50cm，裤长55cm
120码2条，腰围42-60cm，裤长63cm
130码2条，腰围43-60cm，裤长64cm
140码2条，腰围44-60cm，裤长70cm
不议价，2件以上有小礼物"
2.20076E+12,来闲鱼450天了,卖出过50件宝贝,自由职业行业设计师,连续4天来过,E,信用较差,广州,女童裤子夏季薄款防蚊裤儿童灯笼裤男童冰丝凉凉裤居家中小童裤子,在售,0,19.5,1,0,23,3,2,无同款商品信息,"女童裤子夏季薄款防蚊裤儿童灯笼裤男童冰丝凉凉裤居家中小童裤子抖抖裤

五个颜色 
码数90-150码 参考图四尺寸选择

儿童灯笼裤男童冰丝凉凉裤 裤长：长裤 面料：涤纶 适用性别：中性"
