卖家Id,卖家入驻闲鱼时长,卖家卖出商品数量,卖家职业,卖家访问闲鱼频率,卖家芝麻评级,卖家芝麻信用,卖家发货地址,商品标题,商品状态,商品划线价格,商品售价,商品数量,商品邮费,商品浏览数,商品想要人数,商品点赞数,商品同款信息,商品描述
719658416,来闲鱼1375天了,卖出过1968件宝贝,贸易行业市场,连续2天来过,A,信用极好,邵阳,宽松T恤＋鱼尾牛仔半身裙超正点的两件套,在售,195,50,1,0,20,0,0,无同款商品信息,"宽松T恤＋鱼尾牛仔半身裙超正点的两件套
校园风，减龄套装
S码牛仔半身裙有弹力
100斤以内穿轻松驾驭
喜欢小姐姐不要错过，直接拍
不议价不议价不议价，爽快包邮
二手闲置衣服售出不退不换"
3876046682,来闲鱼790天了,卖出过16件宝贝,手机壳都是下单后制作的，发货时间跟着制作时间和排单量变化，心急宝贝慎拍哦~,连续2天来过,B,信用优秀,杭州,杂衣和hm衣服断舍离,在售,200,10,1,7,8,0,0,无同款商品信息,"杂衣和hm衣服断舍离
基本八九新和全新
都是m码
价格看图片
全打包两百包邮
单拍不包邮
偏远不包邮
全打包的价格才一件hm半身裙的价格所以不讲价了
二手多少有点瑕疵
介意勿拍
不要直接拍联系我改价"
45478537,来闲鱼2004天了,卖出过2700件宝贝,国家机关单位行业财务,连续2天来过,A,信用极好,海外,欧时力ochirly专柜正品气质一字领条纹衬衫非地素moco,在售,599,50,1,0,33,0,0,无同款商品信息,欧时力ochirly专柜正品气质一字领条纹衬衫非地素moco乌丫  专柜正品 160s码 9新 很有气质的一款 也可以不露肩 衣服太多低价转 无发票无吊牌 介意不要拍 二手不退不换 请考虑好再下手
2.20798E+12,来闲鱼3天了,卖出过0件宝贝,,5小时前来过,D,信用中等,临沂,仙气新款v领长袖风格雪纺衫 风格：韩版 风格：通勤，二手闲置,在售,249,106,1,0,7,0,0,无同款商品信息,仙气新款v领长袖风格雪纺衫 风格：韩版 风格：通勤，二手闲置衣服。
2440484195,来闲鱼1553天了,卖出过24件宝贝,湖南大众传媒职业技术学院在读,连续3天来过,A,信用极好,长沙,2020夏季新款韩版宽松大码卡通印花短袖T恤女学生半袖T恤上,在售,59,13.5,1,0,34,3,1,无同款商品信息,"2020夏季新款韩版宽松大码卡通印花短袖T恤女学生半袖T恤上衣服女
✨全新全新全新 非二手！！！
✨刚发布限时价13.5包邮
✨尺码M-2xl，具体可看最后一张尺码表！！
❤️13.5刀不下了（不赚钱也不会让我贴钱呀呜呜呜）"
3820783277,来闲鱼837天了,卖出过833件宝贝,零售行业销售,44分钟前来过,A,信用极好,深圳,柠檬小清新连衣裙 全新没穿过，肩宽33裙长79腰围60，手工,在售,159,28,1,0,9,0,0,无同款商品信息,"柠檬小清新连衣裙 全新没穿过，肩宽33裙长79腰围60，手工测量有少许误差，80多斤妹子可穿。28包邮不议价不退换！
衣服放在箱子里有点潮味，介意勿拍！二手闲置买的是实惠不是完美，挑三挑四的客户勿扰！"
835999023,来闲鱼1875天了,卖出过520件宝贝,出售的宝贝均是正品！随便拍细节图…上个月的衣服配不上今天的我,连续4天来过,A,信用极好,锦州,韩国东大门女装,在售,800,280,1,10,3,0,0,无同款商品信息,"韩国东大门女装
大喇叭墨绿九分裤+七分袖上衣
一套800rmb在韩国买回来的
穿过二次
穿身上超有女人味的
裤子280衣服280
一套500
二手商品售出不退换"
852535258,来闲鱼1086天了,卖出过193件宝贝,工业/制造业行业行政,5小时前来过,A,信用极好,沈阳,夏季女款棉质圆领半袖体恤，7新，165/88，凉爽，大圆领，,在售,120,15,1,0,7,0,0,无同款商品信息,夏季女款棉质圆领半袖体恤，7新，165/88，凉爽，大圆领，闲置转让，二手闲置转让不退不换的。
1748667310,来闲鱼1654天了,卖出过2件宝贝,,4小时前来过,A,信用极好,扬州,敬酒服新娘2019秋款夏款女显瘦结婚衣服回门服订…,在售,183,138,1,0,11,0,0,无同款商品信息,"敬酒服新娘2019秋款夏款女显瘦结婚衣服回门服订…
颜色分类:18194酒红色中长款中袖,尺码:M
二手商品不退不换，非偏远包邮"
388568734,来闲鱼1588天了,卖出过161件宝贝,教育/科研行业教师,45分钟前来过,A,信用极好,潍坊,单芒珍珠少女新中式复古斜襟夏季内搭女上衣衬衫透肉短外套金属扣,在售,0,220,1,0,20,0,0,无同款商品信息,单芒珍珠少女新中式复古斜襟夏季内搭女上衣衬衫透肉短外套金属扣 九五新。非常好配衣服，二手商品售出不退谢谢。s码
2381910981,来闲鱼1993天了,卖出过41件宝贝,,4小时前来过,A,信用极好,上海,贾老板 复古法式碎花裙,在售,158,118,1,0,6,0,0,无同款商品信息,"贾老板 复古法式碎花裙
特别仙女的一条小裙子，还带着一点小性感，实物的颜色很好看的绿色，图片拍不出来。穿过一次，洗过一次，几乎全新，风格不适合，喜欢直接拍，二手衣服售出不退不换。"
