,Province,Num
0,上海,52
1,北京,32
2,成都,25
3,武汉,22
4,天津,17
5,南京,19
6,浙江,65
7,江苏,62
8,山东,43
9,河南,32
10,辽宁,29
11,河北,22
12,安徽,20
13,陕西,19
14,湖南,18
15,重庆,18
16,四川,17
17,湖北,11
18,江西,11
19,内蒙古自治,11
20,山西,11
21,吉林,10
22,宁夏回族自治,4
23,甘肃,3
24,青海,3
25,黑龙江,2
